,index,prog_name,min_heap,init_heap,max_heap,gc_name,entropy,complexity,dit,wmc,noc,cbo,rfc,lcom,ca,npm
57,57,bh,16,48,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.13,1.4444444444
58,58,bh,16,64,512,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.13,1.4444444444
59,59,bh,16,96,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.14,1.4444444444
60,60,bh,16,128,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.13,1.4444444444
61,61,bh,16,160,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.13,1.4444444444
62,62,bh,16,192,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.14,1.4444444444
63,63,bh,16,224,512,UseParNewGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.14,1.4444444444
64,64,bh,16,256,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.15,1.4444444444
65,65,bh,16,512,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.14,1.4444444444
66,66,bh,32,16,16,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.14,1.4444444444
67,67,bh,32,16,32,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.15,1.4444444444
68,68,bh,32,32,32,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.15,1.4444444444
69,69,bh,32,16,48,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.16,1.4444444444
70,70,bh,32,32,48,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.15,1.4444444444
71,71,bh,32,48,48,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.15,1.4444444444
72,72,bh,32,16,64,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.16,1.4444444444
73,73,bh,32,32,64,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.17,1.4444444444
74,74,bh,32,48,64,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.16,1.4444444444
75,75,bh,32,64,64,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.16,1.4444444444
76,76,bh,32,16,96,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.17,1.4444444444
77,77,bh,32,32,96,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.18,1.4444444444
78,78,bh,32,48,96,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.17,1.4444444444
79,79,bh,32,64,96,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.17,1.4444444444
80,80,bh,32,96,96,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.18,1.4444444444
81,81,bh,32,16,128,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.19,1.4444444444
82,82,bh,32,32,128,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.18,1.4444444444
83,83,bh,32,48,128,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.18,1.4444444444
84,84,bh,32,64,128,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.19,1.4444444444
85,85,bh,32,96,128,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.20,1.4444444444
86,86,bh,32,128,128,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.19,1.4444444444
87,87,bh,32,16,160,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.19,1.4444444444
88,88,bh,32,32,160,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.20,1.4444444444
89,89,bh,32,48,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.21,1.4444444444
90,90,bh,32,64,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.20,1.4444444444
91,91,bh,32,96,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.20,1.4444444444
92,92,bh,32,128,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.21,1.4444444444
93,93,bh,32,160,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.22,1.4444444444
94,94,bh,32,16,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.21,1.4444444444
95,95,bh,32,32,192,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.21,1.4444444444
96,96,bh,32,48,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.22,1.4444444444
97,97,bh,32,64,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.23,1.4444444444
98,98,bh,32,96,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.22,1.4444444444
99,99,bh,32,128,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.22,1.4444444444
100,100,bh,32,160,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.23,1.4444444444
101,101,bh,32,192,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.24,1.4444444444
102,102,bh,32,16,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.23,1.4444444444
