index    prog_name    min_heap    init_heap    max_heap    gc_name
191    bh    48.0    96.0    512.0    UseSerialGC
192    bh    48.0    128.0    512.0    UseSerialGC
193    bh    48.0    160.0    512.0    UseSerialGC
194    bh    48.0    192.0    512.0    UseParallelGC
195    bh    48.0    224.0    512.0    UseSerialGC
196    bh    48.0    256.0    512.0    UseSerialGC
197    bh    48.0    512.0    512.0    UseG1GC
198    bh    64.0    16.0    16.0    UseParallelGC
199    bh    64.0    16.0    32.0    UseG1GC
200    bh    64.0    32.0    32.0    UseG1GC
201    bh    64.0    16.0    48.0    UseG1GC
202    bh    64.0    32.0    48.0    UseG1GC
203    bh    64.0    48.0    48.0    UseG1GC
204    bh    64.0    16.0    64.0    UseG1GC
205    bh    64.0    32.0    64.0    UseG1GC
206    bh    64.0    48.0    64.0    UseG1GC
207    bh    64.0    64.0    64.0    UseG1GC
208    bh    64.0    16.0    96.0    UseSerialGC
209    bh    64.0    32.0    96.0    UseConcMarkSweepGC
210    bh    64.0    48.0    96.0    UseConcMarkSweepGC
211    bh    64.0    64.0    96.0    UseConcMarkSweepGC
212    bh    64.0    96.0    96.0    UseSerialGC
213    bh    64.0    16.0    128.0    UseConcMarkSweepGC
214    bh    64.0    32.0    128.0    UseConcMarkSweepGC
215    bh    64.0    48.0    128.0    UseConcMarkSweepGC
216    bh    64.0    64.0    128.0    UseConcMarkSweepGC
217    bh    64.0    96.0    128.0    UseSerialGC
218    bh    64.0    128.0    128.0    UseSerialGC
219    bh    64.0    16.0    160.0    UseConcMarkSweepGC
220    bh    64.0    32.0    160.0    UseConcMarkSweepGC
221    bh    64.0    48.0    160.0    UseConcMarkSweepGC
222    bh    64.0    64.0    160.0    UseConcMarkSweepGC
223    bh    64.0    96.0    160.0    UseSerialGC
224    bh    64.0    128.0    160.0    UseSerialGC
225    bh    64.0    160.0    160.0    UseSerialGC
226    bh    64.0    16.0    192.0    UseConcMarkSweepGC
227    bh    64.0    32.0    192.0    UseConcMarkSweepGC
228    bh    64.0    48.0    192.0    UseConcMarkSweepGC
229    bh    64.0    64.0    192.0    UseConcMarkSweepGC
230    bh    64.0    96.0    192.0    UseParallelGC
231    bh    64.0    128.0    192.0    UseSerialGC
232    bh    64.0    160.0    192.0    UseSerialGC
233    bh    64.0    192.0    192.0    UseSerialGC
234    bh    64.0    16.0    224.0    UseConcMarkSweepGC
235    bh    64.0    32.0    224.0    UseConcMarkSweepGC
236    bh    64.0    48.0    224.0    UseConcMarkSweepGC
237    bh    64.0    64.0    224.0    UseConcMarkSweepGC
238    bh    64.0    96.0    224.0    UseSerialGC
239    bh    64.0    128.0    224.0    UseSerialGC
240    bh    64.0    160.0    224.0    UseSerialGC
241    bh    64.0    192.0    224.0    UseSerialGC
242    bh    64.0    224.0    224.0    UseSerialGC
243    bh    64.0    16.0    256.0    UseConcMarkSweepGC
244    bh    64.0    32.0    256.0    UseConcMarkSweepGC
245    bh    64.0    48.0    256.0    UseConcMarkSweepGC
246    bh    64.0    64.0    256.0    UseConcMarkSweepGC
247    bh    64.0    96.0    256.0    UseSerialGC
248    bh    64.0    128.0    256.0    UseSerialGC
249    bh    64.0    160.0    256.0    UseSerialGC
250    bh    64.0    192.0    256.0    UseSerialGC
251    bh    64.0    224.0    256.0    UseSerialGC
252    bh    64.0    256.0    256.0    UseSerialGC
253    bh    64.0    16.0    512.0    UseSerialGC
254    bh    64.0    32.0    512.0    UseConcMarkSweepGC
255    bh    64.0    48.0    512.0    UseConcMarkSweepGC
256    bh    64.0    64.0    512.0    UseConcMarkSweepGC
257    bh    64.0    96.0    512.0    UseSerialGC
258    bh    64.0    128.0    512.0    UseSerialGC
